category,description
Other,Records that did not cluster into any named top-level category in the recursive taxonomy.
Premature Termination,"Agent stops or responds as finished while required investigation, recovery, processing, implementation, troubleshooting, cleanup, or resolution work remains incomplete."
Evidence Retrieval Omission,"Agent fails to open, inspect, expand, download, extract, or verify a necessary source, file, message, prior state, or record."
Action Execution Error,"Agent has authorization and correct intent but carries out required mutations, payments, bookings, patches, cleanup, batching, or edits incorrectly or incompletely."
Tool Invocation Error,"Agent chooses an inappropriate tool or violates tool schema, arguments, parameters, capability limits, batching rules, placeholders, call order, or one-tool-per-turn constraints."
Unsupported Fabrication,"Agent states or relies on facts, source content, credentials, diagnostics, procedures, restrictions, or causal explanations not supported by evidence."
Entity Resolution Error,"Agent identifies or acts on the wrong entity, such as a person, account, order, item, address, path, role, or counterparty."
Candidate Verification Failure,"Agent commits to or rejects a candidate without checking discriminating constraints, alternatives, contradictions, disqualifiers, or uncertainty against available evidence."
Diagnostic Protocol Error,"Agent skips, misorders, detours from, or misinterprets required troubleshooting checks, reproductions, account tests, connectivity tests, configuration checks, or diagnostic verification."
Evidence Interpretation Error,"Agent misunderstands retrieved evidence, including source details, filters, tool outputs, rankings, attributions, or implications, after the evidence is available."
Constraint Interpretation Error,"Agent misreads explicit user or task constraints, including scope, dates, filters, preferences, privacy requirements, answer form, variants, or replacement boundaries."
Coverage Enumeration Omission,"Agent fails to exhaust required pages, lists, histories, variants, batches, statuses, transactions, recommendations, options, contacts, or libraries for complete coverage."
Validation Recovery Failure,"Agent receives tool validation feedback but repeats invalid calls, makes ineffective repairs, or fails to choose a valid call or alternative path."
Unauthorized Action Execution,"Agent performs an action that is unapproved, ineligible, irreversible, unnecessary, overbroad, duplicate, out-of-scope, or not requested by the user."
Remediation Omission,"Agent diagnoses or identifies a required fix but fails to perform necessary remediation, such as reset, update, enablement, permission, configuration, or cleanup."
Finalization Protocol Error,"Agent completes work but omits or malforms required final answer, submission, completion signal, exact-answer field, alias handling, or answer format."
Policy Eligibility Error,"Agent misapplies policy rules governing eligibility, approval, refusal, compensation, cancellation, exchange, refund, return, insurance, payments, or in-scope service."
Query Formulation Error,"Agent constructs missing, malformed, overbroad, overconstrained, literal, or poorly targeted queries, causing relevant information to be excluded from retrieval."
Quantitative Reasoning Error,"Agent incorrectly extracts, counts, ranks, compares, allocates, or calculates numeric values such as prices, refunds, fares, balances, durations, quantities, or availability."
Confirmation Handling Error,"Agent omits, mistimes, misreads, repeats, or malforms required consent, clarification, preference check, disclosure, approval, or post-action confirmation communication."
Authentication Handling Error,"Agent omits, misreads, invents, corrupts, extracts incorrectly, or misuses credentials, tokens, login state, authentication order, or authenticated context."
Hard to Analyze,"Failure label is ambiguous, subjective, null, artifact-like, or lacks enough context to infer a specific failed skill confidently."
Search Recovery & Adaptation,"Agent does not handle retrieval failures, unavailable sources, invalid queries, timeouts, or empty results through retries, repair, or alternate sources. Combined with: Agent persists with unproductive search strategy instead of pivoting terms, decomposing clues, changing scope, switching sources, or following promising leads."
Escalation Handling,"Agent fails to escalate when required, or performs required escalation with missing tools, handoff details, notifications, routing, or protocol steps. Combined with: Agent escalates or transfers too early, before available in-scope troubleshooting, diagnostics, modification, cancellation, policy decision, or self-service resolution is attempted."
User Communication Error,"Agent gives unclear, incomplete, misleading, or poorly scoped communication to the user. Also includes: Agent proceeds despite missing essential user input that should have been requested first."
Instruction Following Error,"Agent ignores, misapplies, or contradicts explicit user, system, or task instructions."
Planning Error,"Agent lacks a viable step sequence, decomposes poorly, or chooses a strategy that prevents completion."
Looping Behavior,"Agent repeats actions, reasoning, or tool calls without making progress toward completion."
State/Goal Tracking Error,"Agent loses the user's objective, switches tasks, or optimizes for the wrong success condition. / Agent loses track of completed actions, environment state, or unresolved subtasks during execution. / Agent forgets or misuses prior conversation details needed for later decisions."
