parent_top,subcategory,count_in_parent,description
Premature Termination,Hard to Analyze,3,Insufficient context to infer the underlying failed skill beyond ending early.
Premature Termination,Authentication Follow-through,2,"Agent authenticates successfully, then fails to proceed to the actual task."
Premature Termination,Code Implementation,14,"Agent stops before making required source edits, patches, fixes, or completing a partial implementation."
Premature Termination,Diagnostic Follow-through,18,"Agent stops during troubleshooting, reproduction, checks, or root-cause analysis before isolating the cause or determining the next fix."
Premature Termination,Record Modification,12,"Agent stops before applying required non-transactional account, database, playlist, booking, baggage, or configuration updates."
Premature Termination,Search Persistence,22,"Agent gives up after absent, shallow, failed, or poorly scoped searches instead of retrying, broadening, or following leads."
Premature Termination,Data Processing,9,"Agent stops before finishing required calculations, aggregations, transformations, comparisons, or file/media processing."
Premature Termination,Evidence Collection,11,"Agent stops after partial lookup before gathering all required records, evidence, identifiers, or notes from available sources."
Premature Termination,Final Delivery,8,"Agent completes or could complete the work but fails to provide the required final answer, submission, or patch handoff."
Premature Termination,Transaction Execution,12,"Agent stops before executing a consequential transaction, such as booking, transfer, exchange, payment, return, or refuel."
Premature Termination,Batch Iteration,3,"Agent processes only part of a repeated set, leaving remaining moves, removals, rows, items, or cases unfinished."
Premature Termination,Tool Result Interpretation,7,Agent obtains tool output but stops before interpreting the result or using it to choose a next step.
Premature Termination,Target Identification,8,Agent stops before resolving which specific entity should be used or modified.
Premature Termination,Approval Gate Handling,5,"Agent stops at a confirmation, approval, or request gate instead of asking for or using authorization appropriately."
Premature Termination,Downstream Continuation,9,"Agent completes one substantive action, then stops before required validation or follow-up operations beyond the immediate action."
Premature Termination,Deliverable Hygiene,5,"Agent leaves unclean files, dirty patches, leaked artifacts, missing attachments, or unfinished cleanup after producing a deliverable."
Premature Termination,Failure Recovery,3,"Agent hits an explicit recoverable tool, API, test, approval, or service error and stops instead of retrying or choosing alternatives."
Premature Termination,Other,1,
Query Formulation Error,Parameter Formatting Error,3,"Agent formats query syntax, operators, values, or required parameters incorrectly, causing invalid or misparsed searches."
Query Formulation Error,Underconstrained Term Selection,7,"Agent uses vague, generic, or insufficiently distinctive terms that cannot identify the intended item or entity."
Query Formulation Error,Missing Query Content,5,Agent submits no usable search or omits essential terms/entities required to retrieve relevant results.
Query Formulation Error,Invalid Filter Selection,10,"Agent chooses unsupported, nonexistent, inapplicable, or wrong filters instead of valid search capabilities."
Query Formulation Error,Overconstrained Query,11,"Agent adds excessive keywords, filters, statuses, or conditions that exclude otherwise relevant results."
Query Formulation Error,Result-Guided Reformulation Failure,1,"Agent fails to adapt after poor results, repeating ineffective queries or changing strategy without result evidence."
Query Formulation Error,Relationship Modeling Error,3,Agent omits or misstates relationship predicates or linked-entity constraints needed to retrieve connected records.
Query Formulation Error,Lexical Rigidity,6,"Agent depends on exact phrasing, literal clues, or brittle strings instead of aliases, synonyms, or semantic alternatives."
Query Formulation Error,Temporal Constraint Error,1,"Agent uses incorrect, missing, too broad, too narrow, or misaligned date/time constraints for the requested period."
Query Formulation Error,Scope Selection Error,1,"Agent searches the wrong repository, object type, field, or subset, excluding relevant data sources."
Coverage Enumeration Omission,Exhaustive Traversal,58,"Agent uses a relevant source but fails to traverse all records, pages, nested elements, or sequential candidates."
Coverage Enumeration Omission,Exhaustiveness Recognition,4,"Agent gives examples, summaries, or representative samples when the task requires a complete enumeration."
Coverage Enumeration Omission,Source Coverage Planning,1,"Agent omits an entire relevant input, file, page, tool result, or evidence source from consideration."
Coverage Enumeration Omission,Branch Exploration,3,Agent follows one option or path while neglecting other relevant branches in the task flow.
Coverage Enumeration Omission,Scope Boundary Recognition,4,"Agent overlooks inclusion, exclusion, range, or stopping conditions that define what must be enumerated."
Coverage Enumeration Omission,Edge Case Recognition,1,"Agent lists typical cases while missing boundary values, exceptions, rare variants, or special cases."
Evidence Retrieval Omission,Record Lookup Omission,14,"Agent omits querying or inspecting structured records such as orders, reservations, schedules, payments, contacts, or media lists."
Evidence Retrieval Omission,Artifact Lookup Omission,31,"Agent fails to locate required notes, files, documents, messages, or other free-form artifacts before inspecting content."
Evidence Retrieval Omission,Hard to Analyze,2,Case lacks enough information to infer a specific omitted evidence-retrieval skill with confidence.
Evidence Retrieval Omission,Premature Retrieval Closure,4,"Agent stops searching, submits, or finalizes despite an incomplete evidence chain or known missing retrieval step."
Evidence Retrieval Omission,Search Result Triage,6,"Agent overlooks a relevant available result, list item, or returned option that should have been inspected."
Evidence Retrieval Omission,Detail Extraction Failure,6,"Agent accesses relevant evidence but fails to identify the answer-bearing fact, code, duration, address, status, or similar detail."
Evidence Retrieval Omission,Target Set Discovery,4,Agent fails to enumerate the required set of target entities before deciding what evidence to retrieve.
Evidence Retrieval Omission,Source Coverage Gap,8,"Agent retrieves some evidence but omits required source categories, repositories, or independent corroborating sources."
Evidence Retrieval Omission,Verification Omission,6,"Agent does not confirm a retrieved or copied fact against the required authoritative source, status, or current record."
Evidence Retrieval Omission,Source Follow-up Omission,15,"Agent notices a promising source, link, snippet, or reference but fails to open, expand, or follow it."
Evidence Retrieval Omission,Artifact Inspection Gap,4,"Agent opens an artifact but does not navigate, search within, or inspect enough sections to find needed evidence."
